laptop,date_updated,time_diff,sla,sla_percentage
ohsu-merge,2013-10-31 23:31:06.948094+00:00,2825 days 19:41:37.492915,30,94.19401909448881
ohsu44,2015-08-28 23:25:09.861464+00:00,2159 days 19:47:33.015208,30,71.99415625586728
ohsu45,2018-02-26 17:32:32.626815+00:00,1247 days 01:40:10.843424,30,41.568985664901234
ohsu46,2018-02-26 17:32:36.538998+00:00,1247 days 01:40:07.296578,30,41.56898429651929
ohsu32,2018-03-05 00:50:49.547879+00:00,1240 days 18:21:54.035017,30,41.35884029128742
ohsu9,2018-04-02 15:42:00.717235+00:00,1212 days 03:30:42.235193,30,40.40487740555285
ohsu20,2018-04-16 16:16:20.761852+00:00,1198 days 02:56:22.977958,30,39.93741627236034
ohsu21,2018-04-20 15:35:23.994334+00:00,1194 days 03:37:20.671525,30,39.80503112327354
ohsu10,2018-10-01 21:30:04.509465+00:00,1029 days 21:42:39.602957,30,34.330154167807486
ohsu52,2018-10-05 18:23:32.796429+00:00,1026 days 00:49:10.383426,30,34.201138265210645
ohsu51,2021-05-25 20:37:16.572088+00:00,62 days 22:35:26.838671,30,2.0980427618329474
ohsu50,2021-07-27 03:12:54.936090+00:00,0 days 15:59:49.629360,30,0.022218221203703703
