laptop,date_updated,time_diff,sla,sla_percentage
admin2,2013-05-03 16:45:50.044002+00:00,3007 days 02:26:53.619757,30,100.23673364959761
admin36,2013-08-25 18:25:55.584166+00:00,2893 days 00:46:47.618803,30,96.43441651959992
admin35,2013-08-25 18:26:01.240946+00:00,2893 days 00:46:41.671701,30,96.4344142251933
ohsu-merge,2013-10-31 23:31:06.948094+00:00,2825 days 19:41:37.492915,30,94.19401909448881
admin1,2014-03-20 17:39:25.734019+00:00,2686 days 01:33:18.906736,30,89.53549340537654
sri38,2014-03-20 18:56:22.582503+00:00,2686 days 00:16:20.798763,30,89.53371172791783
ucsd-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:37.569972,30,85.33519967977315
sri-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:37.204906,30,85.33519953892979
upmc-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:35.779961,30,85.33519898918249
duke-merge,2015-03-31 23:11:20.513258+00:00,2309 days 20:01:23.493961,30,76.99447665662076
ucsd45,2015-08-28 23:24:46.642189+00:00,2159 days 19:47:56.608584,30,71.99416535825
ucsd46,2015-08-28 23:24:59.443480+00:00,2159 days 19:47:43.836639,30,71.99416043080208
ohsu44,2015-08-28 23:25:09.861464+00:00,2159 days 19:47:33.015208,30,71.99415625586728
ucsd98,2017-09-22 20:53:19.647499+00:00,1403 days 22:19:24.216009,30,46.7976713796331
ucsd48,2018-02-26 17:09:35.246347+00:00,1247 days 02:03:07.836575,30,41.56951691225888
ohsu45,2018-02-26 17:32:32.626815+00:00,1247 days 01:40:10.843424,30,41.568985664901234
ohsu46,2018-02-26 17:32:36.538998+00:00,1247 days 01:40:07.296578,30,41.56898429651929
sri29,2018-03-02 18:20:13.629115+00:00,1243 days 00:52:30.782627,30,41.43454891305054
upmc3,2018-03-05 00:50:49.547879+00:00,1240 days 18:21:54.399012,30,41.358840431717596
ohsu32,2018-03-05 00:50:49.547879+00:00,1240 days 18:21:54.035017,30,41.35884029128742
ucsd43,2018-03-06 19:21:39.323753+00:00,1238 days 23:51:04.233404,30,41.29979329992438
upmc4,2018-03-06 19:21:39.323753+00:00,1238 days 23:51:04.115280,30,41.299793254351854
ucsd12,2018-03-13 19:07:51.167633+00:00,1232 days 00:04:52.161515,30,41.06677938330054
sri5,2018-03-15 21:14:36.774956+00:00,1229 days 21:58:06.204292,30,40.9971783195571
ucsd99,2018-03-16 18:51:36.357579+00:00,1229 days 00:21:07.728425,30,40.96715575942322
sri6,2018-03-27 22:04:56.531188+00:00,1217 days 21:07:48.161789,30,40.596013951307484
ohsu9,2018-04-02 15:42:00.717235+00:00,1212 days 03:30:42.235193,30,40.40487740555285
ucsd22,2018-04-04 22:47:22.688156+00:00,1209 days 20:25:21.228931,30,40.32836467165548
duke30,2018-04-10 14:57:58.116245+00:00,1204 days 04:14:45.648189,30,40.139230574146985
duke8,2018-04-10 16:13:22.992412+00:00,1204 days 02:59:20.036630,30,40.13748458203318
ucsd41,2018-04-11 00:06:35.372990+00:00,1203 days 19:06:08.957511,30,40.126531233607636
ucsd23,2018-04-11 20:20:53.110439+00:00,1202 days 22:51:50.503710,30,40.0984222622338
ohsu20,2018-04-16 16:16:20.761852+00:00,1198 days 02:56:22.977958,30,39.93741627236034
upmc28,2018-04-17 15:43:09.339849+00:00,1197 days 03:29:35.153891,30,39.90485152542091
duke19,2018-04-17 18:06:57.680815+00:00,1197 days 01:05:46.836655,30,39.901522699326776
upmc37,2018-04-17 19:27:55.662666+00:00,1196 days 23:44:48.528550,30,39.89964835206404
upmc27,2018-04-19 19:13:24.061998+00:00,1194 days 23:59:19.162446,30,39.83331757810417
ohsu21,2018-04-20 15:35:23.994334+00:00,1194 days 03:37:20.671525,30,39.80503112327354
ucsd47,2018-04-23 20:55:09.279999+00:00,1190 days 22:17:35.334382,30,39.69762937283256
duke18,2018-04-28 20:05:31.394105+00:00,1185 days 23:07:12.746184,30,39.53211139899074
ucsd56,2018-07-19 00:22:13.285952+00:00,1104 days 18:50:30.749283,30,36.82616927055671
ucsd11,2018-09-25 02:09:49.802674+00:00,1036 days 17:02:53.723695,30,34.55701146747492
sri52,2018-09-27 01:15:36.846530+00:00,1034 days 17:57:06.505887,30,34.491599732209494
admin50,2018-10-01 15:07:12.864536+00:00,1030 days 04:05:30.293656,30,34.33901631699692
ohsu10,2018-10-01 21:30:04.509465+00:00,1029 days 21:42:39.602957,30,34.330154167807486
ohsu52,2018-10-05 18:23:32.796429+00:00,1026 days 00:49:10.383426,30,34.201138265210645
ucsd42,2018-11-08 23:01:51.263449+00:00,991 days 20:10:52.901216,30,33.06136300201234
duke7,2019-03-18 16:19:52.037297+00:00,862 days 02:52:51.940353,30,28.73733485353125
duke31,2019-03-18 18:27:38.047836+00:00,862 days 00:45:06.542117,30,28.73437752396489
sri39,2019-03-18 19:29:14.564782+00:00,861 days 23:43:28.545540,30,28.73295082775463
sri40,2019-03-18 21:17:02.233664+00:00,861 days 21:55:41.985305,30,28.73045601284915
sri33,2019-03-18 21:20:15.336583+00:00,861 days 21:52:29.205619,30,28.730381637970297
sri17,2019-04-01 20:53:29.718437+00:00,847 days 22:19:13.287475,30,28.264333830044368
upmc51,2019-04-03 19:16:48.293965+00:00,845 days 23:55:55.493305,30,28.19990566871335
sri51,2019-04-08 17:31:18.478985+00:00,841 days 01:41:25.795744,30,28.035681248358024
ucsd60,2019-09-12 23:52:15.937495+00:00,683 days 19:20:27.950686,30,22.79352930196219
ucsd34,2020-01-29 19:41:14.073812+00:00,544 days 23:31:28.774838,30,18.16600647177392
sri50,2020-03-02 22:16:36.986808+00:00,511 days 20:56:06.315230,30,17.062409843838733
upmc26,2020-03-03 16:45:56.863046+00:00,511 days 02:26:46.634454,30,17.036730954650462
upmc25,2020-03-12 16:01:39.015164+00:00,502 days 03:11:05.231392,30,16.73775664791358
duke36,2020-03-20 15:31:18.457549+00:00,494 days 03:41:25.228156,30,16.471792140492283
duke50,2020-05-12 19:39:26.698266+00:00,440 days 23:33:17.602877,30,14.69938179123341
duke51,2020-05-13 16:20:12.356442+00:00,440 days 02:52:32.394718,30,14.670660646110338
ucsd61,2020-11-19 02:00:32.770837+00:00,250 days 17:12:11.039475,30,8.357226481278936
ucsd54,2021-02-17 01:13:16.294895+00:00,160 days 17:59:27.346074,30,5.358320735368055
ucsd52,2021-02-22 21:36:41.072136+00:00,154 days 21:36:02.063051,30,5.163334129263503
ucsd55,2021-03-30 15:00:54.973128+00:00,119 days 04:11:49.087954,30,3.9724957901057096
ohsu51,2021-05-25 20:37:16.572088+00:00,62 days 22:35:26.838671,30,2.0980427618329474
ucsd51,2021-06-27 22:36:55.888467+00:00,29 days 20:35:48.579317,30,0.9952733716500772
upmc50,2021-07-15 14:30:43.548598+00:00,12 days 04:42:00.834135,30,0.40652809958912034
ucsd53,2021-07-26 01:38:04.370757+00:00,1 days 17:34:38.686601,30,0.05774640686766975
ohsu50,2021-07-27 03:12:54.936090+00:00,0 days 15:59:49.629360,30,0.022218221203703703
ucsd49,2021-07-27 07:03:13.408172+00:00,0 days 12:09:30.301153,30,0.01688669025964506
