laptop,date_updated,time_diff,sla,sla_percentage
sri38,2014-03-20 18:56:22.582503+00:00,2686 days 00:16:20.798763,30,89.53371172791783
sri-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:37.204906,30,85.33519953892979
sri29,2018-03-02 18:20:13.629115+00:00,1243 days 00:52:30.782627,30,41.43454891305054
sri5,2018-03-15 21:14:36.774956+00:00,1229 days 21:58:06.204292,30,40.9971783195571
sri6,2018-03-27 22:04:56.531188+00:00,1217 days 21:07:48.161789,30,40.596013951307484
sri52,2018-09-27 01:15:36.846530+00:00,1034 days 17:57:06.505887,30,34.491599732209494
sri39,2019-03-18 19:29:14.564782+00:00,861 days 23:43:28.545540,30,28.73295082775463
sri40,2019-03-18 21:17:02.233664+00:00,861 days 21:55:41.985305,30,28.73045601284915
sri33,2019-03-18 21:20:15.336583+00:00,861 days 21:52:29.205619,30,28.730381637970297
sri17,2019-04-01 20:53:29.718437+00:00,847 days 22:19:13.287475,30,28.264333830044368
sri51,2019-04-08 17:31:18.478985+00:00,841 days 01:41:25.795744,30,28.035681248358024
sri50,2020-03-02 22:16:36.986808+00:00,511 days 20:56:06.315230,30,17.062409843838733
