laptop,date_updated,time_diff,sla,sla_percentage
ucsd-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:37.569972,30,85.33519967977315
ucsd45,2015-08-28 23:24:46.642189+00:00,2159 days 19:47:56.608584,30,71.99416535825
ucsd46,2015-08-28 23:24:59.443480+00:00,2159 days 19:47:43.836639,30,71.99416043080208
ucsd98,2017-09-22 20:53:19.647499+00:00,1403 days 22:19:24.216009,30,46.7976713796331
ucsd48,2018-02-26 17:09:35.246347+00:00,1247 days 02:03:07.836575,30,41.56951691225888
ucsd43,2018-03-06 19:21:39.323753+00:00,1238 days 23:51:04.233404,30,41.29979329992438
ucsd12,2018-03-13 19:07:51.167633+00:00,1232 days 00:04:52.161515,30,41.06677938330054
ucsd99,2018-03-16 18:51:36.357579+00:00,1229 days 00:21:07.728425,30,40.96715575942322
ucsd22,2018-04-04 22:47:22.688156+00:00,1209 days 20:25:21.228931,30,40.32836467165548
ucsd41,2018-04-11 00:06:35.372990+00:00,1203 days 19:06:08.957511,30,40.126531233607636
ucsd23,2018-04-11 20:20:53.110439+00:00,1202 days 22:51:50.503710,30,40.0984222622338
ucsd47,2018-04-23 20:55:09.279999+00:00,1190 days 22:17:35.334382,30,39.69762937283256
ucsd56,2018-07-19 00:22:13.285952+00:00,1104 days 18:50:30.749283,30,36.82616927055671
ucsd11,2018-09-25 02:09:49.802674+00:00,1036 days 17:02:53.723695,30,34.55701146747492
ucsd42,2018-11-08 23:01:51.263449+00:00,991 days 20:10:52.901216,30,33.06136300201234
ucsd60,2019-09-12 23:52:15.937495+00:00,683 days 19:20:27.950686,30,22.79352930196219
ucsd34,2020-01-29 19:41:14.073812+00:00,544 days 23:31:28.774838,30,18.16600647177392
ucsd61,2020-11-19 02:00:32.770837+00:00,250 days 17:12:11.039475,30,8.357226481278936
ucsd54,2021-02-17 01:13:16.294895+00:00,160 days 17:59:27.346074,30,5.358320735368055
ucsd52,2021-02-22 21:36:41.072136+00:00,154 days 21:36:02.063051,30,5.163334129263503
ucsd55,2021-03-30 15:00:54.973128+00:00,119 days 04:11:49.087954,30,3.9724957901057096
ucsd51,2021-06-27 22:36:55.888467+00:00,29 days 20:35:48.579317,30,0.9952733716500772
ucsd53,2021-07-26 01:38:04.370757+00:00,1 days 17:34:38.686601,30,0.05774640686766975
ucsd49,2021-07-27 07:03:13.408172+00:00,0 days 12:09:30.301153,30,0.01688669025964506
