laptop,date_updated,time_diff,sla,sla_percentage
upmc-merge,2014-07-24 17:52:07.152474+00:00,2560 days 01:20:35.779961,30,85.33519898918249
upmc3,2018-03-05 00:50:49.547879+00:00,1240 days 18:21:54.399012,30,41.358840431717596
upmc4,2018-03-06 19:21:39.323753+00:00,1238 days 23:51:04.115280,30,41.299793254351854
upmc28,2018-04-17 15:43:09.339849+00:00,1197 days 03:29:35.153891,30,39.90485152542091
upmc37,2018-04-17 19:27:55.662666+00:00,1196 days 23:44:48.528550,30,39.89964835206404
upmc27,2018-04-19 19:13:24.061998+00:00,1194 days 23:59:19.162446,30,39.83331757810417
upmc51,2019-04-03 19:16:48.293965+00:00,845 days 23:55:55.493305,30,28.19990566871335
upmc26,2020-03-03 16:45:56.863046+00:00,511 days 02:26:46.634454,30,17.036730954650462
upmc25,2020-03-12 16:01:39.015164+00:00,502 days 03:11:05.231392,30,16.73775664791358
upmc50,2021-07-15 14:30:43.548598+00:00,12 days 04:42:00.834135,30,0.40652809958912034
